,name,offices
0,Google,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'AUS'}, {'country_code': 'CHN'}, {'country_code': 'CHN'}, {'country_code': 'CHN'}, {'country_code': 'HKG'}, {'country_code': 'IND'}, {'country_code': 'USA'}, {'country_code': 'IND'}, {'country_code': 'IND'}, {'country_code': 'IND'}, {'country_code': 'JPN'}, {'country_code': 'USA'}, {'country_code': 'PRK'}, {'country_code': 'SGP'}, {'country_code': 'TWN'}, {'country_code': 'DNK'}, {'country_code': 'DNK'}, {'country_code': 'FIN'}, {'country_code': 'FRA'}, {'country_code': 'DEU'}, {'country_code': 'IRL'}, {'country_code': 'ITA'}, {'country_code': 'NLD'}, {'country_code': 'NOR'}, {'country_code': 'NOR'}, {'country_code': 'POL'}, {'country_code': 'POL'}, {'country_code': 'RUS'}, {'country_code': 'RUS'}, {'country_code': 'ESP'}, {'country_code': 'SWE'}, {'country_code': 'SWE'}, {'country_code': 'CHE'}, {'country_code': 'GBR'}, {'country_code': 'GBR'}, {'country_code': 'CAN'}, {'country_code': 'CAN'}, {'country_code': 'CAN'}, {'country_code': 'ARG'}, {'country_code': 'BRA'}, {'country_code': 'MEX'}, {'country_code': 'ISR'}, {'country_code': 'ISR'}, {'country_code': 'TUR'}, {'country_code': 'ARE'}]"
1,Truphone,"[{'country_code': 'GBR'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'ESP'}, {'country_code': 'NLD'}, {'country_code': 'HKG'}]"
2,Boonex,[{'country_code': 'AUS'}]
3,TokBox,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'USA'}, {'country_code': 'ESP'}]"
4,KIT digital,"[{'country_code': 'USA'}, {'country_code': 'CZE'}, {'country_code': 'GBR'}, {'country_code': 'AUS'}, {'country_code': 'SWE'}, {'country_code': 'ARG'}, {'country_code': 'EGY'}, {'country_code': 'SGP'}, {'country_code': 'CAN'}, {'country_code': 'ARE'}]"
5,Hitwise,[{'country_code': 'AUS'}]
6,ReachLocal,"[{'country_code': 'GBR'}, {'country_code': 'CAN'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'JPN'}]"
7,Shoeboxed,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'AUS'}]"
8,Atlassian,"[{'country_code': 'AUS'}, {'country_code': 'USA'}, {'country_code': 'NLD'}, {'country_code': 'JPN'}]"
9,Minti,[{'country_code': 'AUS'}]
10,thatsmymouse,[{'country_code': 'AUS'}]
11,AboutWeblogs,[{'country_code': 'AUS'}]
12,MomentVille,[{'country_code': 'AUS'}]
13,Gorilla Nation Media,"[{'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'USA'}, {'country_code': 'CAN'}, {'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}, {'country_code': 'CAN'}]"
14,Ephox,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'GBR'}]"
15,2threads,[{'country_code': 'AUS'}]
16,Sporting Connections,[{'country_code': 'AUS'}]
17,99designs,"[{'country_code': 'USA'}, {'country_code': 'AUS'}, {'country_code': 'DEU'}]"
18,2ergo,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
19,Norg Media,[{'country_code': 'AUS'}]
20,Buongiorno,"[{'country_code': 'ITA'}, {'country_code': 'ITA'}, {'country_code': 'ARG'}, {'country_code': 'AUS'}, {'country_code': 'AUT'}, {'country_code': 'NLD'}, {'country_code': 'BRA'}, {'country_code': 'FIN'}, {'country_code': 'FRA'}, {'country_code': 'DEU'}, {'country_code': 'GRC'}, {'country_code': 'HKG'}, {'country_code': 'IND'}, {'country_code': 'IRL'}, {'country_code': 'MEX'}, {'country_code': 'NGA'}, {'country_code': 'NOR'}, {'country_code': 'PRT'}, {'country_code': 'RUS'}, {'country_code': 'ESP'}, {'country_code': 'ZAF'}, {'country_code': 'CHE'}, {'country_code': 'TUR'}, {'country_code': 'GBR'}, {'country_code': 'USA'}]"
21,Stateless Systems,[{'country_code': 'AUS'}]
22,Symantec,"[{'country_code': 'USA'}, {'country_code': 'AUS'}]"
